03/07/2021 08:20:53 AM Temp: 72.3 F / 22.4 C    Humidity: 48.0% 
03/07/2021 08:23:01 AM Temp: 69.6 F / 20.9 C    Humidity: 31.7% 
03/07/2021 08:24:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.1% 
03/07/2021 08:25:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.1% 
03/07/2021 08:26:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.4% 
03/07/2021 08:27:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.1% 
03/07/2021 08:28:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.2% 
03/07/2021 08:29:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.2% 
03/07/2021 08:30:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.2% 
03/07/2021 08:31:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.2% 
03/07/2021 08:32:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.6% 
03/07/2021 08:33:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.4% 
03/07/2021 08:34:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.4% 
03/07/2021 08:35:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.5% 
03/07/2021 08:36:02 AM Temp: 69.1 F / 20.6 C    Humidity: 32.4% 
03/07/2021 08:37:02 AM Temp: 68.9 F / 20.5 C    Humidity: 32.4% 
03/07/2021 08:38:02 AM Temp: 68.9 F / 20.5 C    Humidity: 32.4% 
03/07/2021 08:39:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.3% 
03/07/2021 08:40:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 08:41:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.9% 
03/07/2021 08:42:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.0% 
03/07/2021 08:43:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.5% 
03/07/2021 08:44:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.3% 
03/07/2021 08:45:01 AM Temp: 69.3 F / 20.7 C    Humidity: 32.8% 
03/07/2021 08:46:01 AM Temp: 69.3 F / 20.7 C    Humidity: 32.8% 
03/07/2021 08:47:01 AM Temp: 69.3 F / 20.7 C    Humidity: 32.6% 
03/07/2021 08:48:01 AM Temp: 69.3 F / 20.7 C    Humidity: 32.8% 
03/07/2021 08:49:01 AM Temp: 69.3 F / 20.7 C    Humidity: 32.6% 
03/07/2021 08:50:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.6% 
03/07/2021 08:51:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.7% 
03/07/2021 08:52:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.6% 
03/07/2021 08:53:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.7% 
03/07/2021 08:54:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.8% 
03/07/2021 08:55:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.7% 
03/07/2021 08:56:01 AM Temp: 69.1 F / 20.6 C    Humidity: 32.9% 
03/07/2021 08:57:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.9% 
03/07/2021 08:58:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.9% 
03/07/2021 08:59:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 09:00:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 09:01:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.1% 
03/07/2021 09:02:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.0% 
03/07/2021 09:03:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.0% 
03/07/2021 09:04:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.0% 
03/07/2021 09:05:02 AM Temp: 68.9 F / 20.5 C    Humidity: 33.0% 
03/07/2021 09:06:02 AM Temp: 68.9 F / 20.5 C    Humidity: 33.2% 
03/07/2021 09:07:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.3% 
03/07/2021 09:08:02 AM Temp: 68.9 F / 20.5 C    Humidity: 33.4% 
03/07/2021 09:09:02 AM Temp: 68.9 F / 20.5 C    Humidity: 33.4% 
03/07/2021 09:10:02 AM Temp: 68.9 F / 20.5 C    Humidity: 33.4% 
03/07/2021 09:11:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.5% 
03/07/2021 09:12:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:13:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.3% 
03/07/2021 09:14:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:15:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:16:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:17:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:18:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:19:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:20:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:21:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:22:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:23:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:24:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:25:01 AM error occured
03/07/2021 09:25:01 AM Checksum did not validate. Try again.
03/07/2021 09:26:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:27:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:28:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:29:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:30:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.1% 
03/07/2021 09:31:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:32:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.1% 
03/07/2021 09:33:02 AM error occured
03/07/2021 09:33:02 AM Checksum did not validate. Try again.
03/07/2021 09:34:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:35:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.1% 
03/07/2021 09:36:02 AM Temp: 68.5 F / 20.3 C    Humidity: 33.2% 
03/07/2021 09:37:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.2% 
03/07/2021 09:38:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.3% 
03/07/2021 09:39:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.4% 
03/07/2021 09:40:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.9% 
03/07/2021 09:41:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.8% 
03/07/2021 09:42:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.1% 
03/07/2021 09:43:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.3% 
03/07/2021 09:44:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.5% 
03/07/2021 09:45:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.5% 
03/07/2021 09:46:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.6% 
03/07/2021 09:47:01 AM Temp: 68.5 F / 20.3 C    Humidity: 34.4% 
03/07/2021 09:48:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.3% 
03/07/2021 09:49:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.1% 
03/07/2021 09:50:01 AM Temp: 68.7 F / 20.4 C    Humidity: 34.1% 
03/07/2021 09:51:01 AM Temp: 68.5 F / 20.3 C    Humidity: 33.9% 
03/07/2021 09:52:01 AM Temp: 68.5 F / 20.3 C    Humidity: 34.0% 
03/07/2021 09:53:01 AM Temp: 68.5 F / 20.3 C    Humidity: 34.0% 
03/07/2021 09:54:01 AM Temp: 68.5 F / 20.3 C    Humidity: 33.9% 
03/07/2021 09:55:01 AM Temp: 68.5 F / 20.3 C    Humidity: 33.9% 
03/07/2021 09:56:01 AM Temp: 68.5 F / 20.3 C    Humidity: 33.8% 
03/07/2021 09:57:01 AM Temp: 68.5 F / 20.3 C    Humidity: 33.8% 
